Location,Area,BHK,Floor,Balconies,Property Age,Parking,Near Market,Main Road,Furnishing,Price
Scheme No. 54,2354,4,2,0,27,No,No,Yes,Semi-Furnished,248.7
Mahalaxmi Nagar,2272,4,4,1,2,Yes,Yes,No,Furnished,194.64
Mahu Naka,2132,3,2,4,7,Yes,No,No,Furnished,119.01
Rau-Pithampur Road,770,1,3,1,41,No,No,No,Semi-Furnished,22.85
Mahalaxmi Nagar,2029,3,1,0,26,Yes,No,Yes,Non-Furnished,170.27
Lokmanya Nagar,2475,3,3,4,39,Yes,No,No,Furnished,103.69
Chandan Nagar,3681,4,4,3,22,Yes,No,No,Semi-Furnished,133.09
CAT Road,689,1,4,2,14,Yes,No,No,Non-Furnished,30.96
Vijay Nagar,2206,4,3,3,29,No,Yes,No,Furnished,242.82
Palasia,3940,4,4,0,14,Yes,No,No,Semi-Furnished,284.62
Rau,2020,3,3,4,29,Yes,No,No,Semi-Furnished,143.1
Chandan Nagar,1724,3,3,1,10,Yes,Yes,Yes,Furnished,75.69
Super Corridor,1063,2,4,3,37,Yes,No,No,Semi-Furnished,109.04
Chandan Nagar,3541,4,2,3,44,Yes,Yes,Yes,Furnished,105.03
Scheme No. 140,1665,3,3,0,8,No,Yes,Yes,Furnished,112.07
Nipania,2248,4,3,0,1,Yes,No,No,Furnished,179.21
Tilak Nagar,3245,4,4,3,21,No,No,No,Semi-Furnished,185.45
LIG Colony,4217,4,1,1,19,No,No,No,Furnished,232.8
Ring Road,2951,3,2,2,45,Yes,Yes,Yes,Furnished,130.74
Ring Road,4957,4,4,1,26,No,No,No,Semi-Furnished,247.34
Dhar Road,549,1,2,0,3,No,Yes,Yes,Semi-Furnished,23.91
Palasia,4493,4,3,1,42,Yes,Yes,Yes,Non-Furnished,247.99
Indore Bypass,3421,4,1,4,7,Yes,No,No,Furnished,195.72
Scheme No. 94,3155,4,1,0,24,No,Yes,Yes,Semi-Furnished,151.68
Mahalaxmi Nagar,2557,4,0,4,27,No,No,No,Furnished,225.78
Bhawarkuan,3825,4,4,3,22,Yes,Yes,Yes,Furnished,195.44
Rajendra Nagar,1061,2,1,3,16,Yes,Yes,Yes,Furnished,49.34
Pipliyahana,1382,2,3,0,1,No,No,No,Furnished,91.76
